pipeline	sample	filter	variant_caller	region	region2	variant_class	TP	FP	FN	RECALL	PRECISION	F1
snpmutator	snpmutator_SV12_H1	RAW	GATK	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV12_H1	RAW	GATK	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV12_H1	MTBseq	GATK	TOTAL	TOTAL	snp	779	0	21	0.97375	1.0	0.986875
snpmutator	snpmutator_SV12_H1	MTBseq	GATK	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV12_H1	MTBseq	GATK	TOTAL	TOTAL	indel	32	60	18	0.64	0.34782608695652173	0.49391304347826087
snpmutator	snpmutator_SV12_H1	MTBseq	GATK	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV12_H1	MTBseq	GATK	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV13_H1	RAW	freebayes	TOTAL	TOTAL	snp	796	155	4	0.995	0.8370136698212408	0.9160068349106204
snpmutator	snpmutator_SV13_H1	RAW	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV13_H1	RAW	freebayes	TOTAL	TOTAL	indel	35	64	15	0.7	0.35353535353535354	0.5267676767676768
snpmutator	snpmutator_SV13_H1	RAW	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV13_H1	RAW	freebayes	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV13_H1	genotube	freebayes	TOTAL	TOTAL	snp	795	0	5	0.99375	1.0	0.996875
snpmutator	snpmutator_SV13_H1	genotube	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV13_H1	genotube	freebayes	TOTAL	TOTAL	indel	35	64	15	0.7	0.35353535353535354	0.5267676767676768
snpmutator	snpmutator_SV13_H1	genotube	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV13_H1	genotube	freebayes	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV13_H1	TBprofiler	mpileup	TOTAL	TOTAL	snp	798	10	2	0.9975	0.9876237623762376	0.9925618811881188
snpmutator	snpmutator_SV13_H1	TBprofiler	mpileup	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV13_H1	TBprofiler	mpileup	TOTAL	TOTAL	indel	35	65	15	0.7	0.35	0.5249999999999999
snpmutator	snpmutator_SV13_H1	TBprofiler	mpileup	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV13_H1	TBprofiler	mpileup	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV13_H1	RAW	GATK	TOTAL	TOTAL	snp	797	1	3	0.99625	0.9987468671679198	0.9974984335839598
snpmutator	snpmutator_SV13_H1	RAW	GATK	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV13_H1	RAW	GATK	TOTAL	TOTAL	indel	35	65	15	0.7	0.35	0.5249999999999999
snpmutator	snpmutator_SV13_H1	RAW	GATK	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV13_H1	RAW	GATK	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV13_H1	MTBseq	GATK	TOTAL	TOTAL	snp	786	0	14	0.9825	1.0	0.99125
snpmutator	snpmutator_SV13_H1	MTBseq	GATK	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV13_H1	MTBseq	GATK	TOTAL	TOTAL	indel	35	60	15	0.7	0.3684210526315789	0.5342105263157895
snpmutator	snpmutator_SV13_H1	MTBseq	GATK	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV13_H1	MTBseq	GATK	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV14_H1	RAW	freebayes	TOTAL	TOTAL	snp	795	160	5	0.99375	0.8324607329842932	0.9131053664921467
snpmutator	snpmutator_SV14_H1	RAW	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV14_H1	RAW	freebayes	TOTAL	TOTAL	indel	38	64	12	0.76	0.37254901960784315	0.5662745098039216
snpmutator	snpmutator_SV14_H1	RAW	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV14_H1	RAW	freebayes	TOTAL	TOTAL	unknown	1	1	49	0.02	0.5	0.26
snpmutator	snpmutator_SV14_H1	genotube	freebayes	TOTAL	TOTAL	snp	794	0	6	0.9925	1.0	0.9962500000000001
snpmutator	snpmutator_SV14_H1	genotube	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV14_H1	genotube	freebayes	TOTAL	TOTAL	indel	38	62	12	0.76	0.38	0.5700000000000001
snpmutator	snpmutator_SV14_H1	genotube	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV14_H1	genotube	freebayes	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV14_H1	TBprofiler	mpileup	TOTAL	TOTAL	snp	796	11	4	0.995	0.9863692688971499	0.9906846344485749
snpmutator	snpmutator_SV14_H1	TBprofiler	mpileup	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV14_H1	TBprofiler	mpileup	TOTAL	TOTAL	indel	38	62	12	0.76	0.38	0.5700000000000001
snpmutator	snpmutator_SV14_H1	TBprofiler	mpileup	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV14_H1	TBprofiler	mpileup	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV14_H1	RAW	GATK	TOTAL	TOTAL	snp	796	1	4	0.995	0.998745294855709	0.9968726474278544
snpmutator	snpmutator_SV14_H1	RAW	GATK	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV14_H1	RAW	GATK	TOTAL	TOTAL	indel	38	62	12	0.76	0.38	0.5700000000000001
snpmutator	snpmutator_SV14_H1	RAW	GATK	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV14_H1	RAW	GATK	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV14_H1	MTBseq	GATK	TOTAL	TOTAL	snp	779	0	21	0.97375	1.0	0.986875
snpmutator	snpmutator_SV14_H1	MTBseq	GATK	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV14_H1	MTBseq	GATK	TOTAL	TOTAL	indel	36	61	14	0.72	0.3711340206185567	0.5455670103092783
snpmutator	snpmutator_SV14_H1	MTBseq	GATK	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV14_H1	MTBseq	GATK	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV15_H1	RAW	freebayes	TOTAL	TOTAL	snp	799	164	1	0.99875	0.829698857736241	0.9142244288681205
snpmutator	snpmutator_SV15_H1	RAW	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV15_H1	RAW	freebayes	TOTAL	TOTAL	indel	41	60	9	0.82	0.40594059405940597	0.612970297029703
snpmutator	snpmutator_SV15_H1	RAW	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV15_H1	RAW	freebayes	TOTAL	TOTAL	unknown	1	0	49	0.02	1.0	0.51
snpmutator	snpmutator_SV15_H1	genotube	freebayes	TOTAL	TOTAL	snp	799	0	1	0.99875	1.0	0.999375
snpmutator	snpmutator_SV15_H1	genotube	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV15_H1	genotube	freebayes	TOTAL	TOTAL	indel	41	58	9	0.82	0.41414141414141414	0.6170707070707071
snpmutator	snpmutator_SV15_H1	genotube	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV15_H1	genotube	freebayes	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV15_H1	TBprofiler	mpileup	TOTAL	TOTAL	snp	799	7	1	0.99875	0.9913151364764268	0.9950325682382134
snpmutator	snpmutator_SV15_H1	TBprofiler	mpileup	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV15_H1	TBprofiler	mpileup	TOTAL	TOTAL	indel	41	58	9	0.82	0.41414141414141414	0.6170707070707071
snpmutator	snpmutator_SV15_H1	TBprofiler	mpileup	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV15_H1	TBprofiler	mpileup	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV15_H1	RAW	GATK	TOTAL	TOTAL	snp	799	0	1	0.99875	1.0	0.999375
snpmutator	snpmutator_SV15_H1	RAW	GATK	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV15_H1	RAW	GATK	TOTAL	TOTAL	indel	41	57	9	0.82	0.41836734693877553	0.6191836734693877
snpmutator	snpmutator_SV15_H1	RAW	GATK	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV15_H1	RAW	GATK	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV15_H1	MTBseq	GATK	TOTAL	TOTAL	snp	788	0	12	0.985	1.0	0.9924999999999999
snpmutator	snpmutator_SV15_H1	MTBseq	GATK	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV15_H1	MTBseq	GATK	TOTAL	TOTAL	indel	39	54	11	0.78	0.41935483870967744	0.5996774193548388
